subject,trial_idx,start_marker,stop_marker,start_time,stop_time,used_duration,true_freq,pred_class_idx,pred_freq,correct
SS18,9,Start9,Stop9,518440.52173205046,518445.7182285242,4.0,9.0,0,7.0,False
SS18,10,Start10,Stop10,518452.92812801036,518457.9321443926,4.0,11.0,0,7.0,False
SS18,11,Start11,Stop11,518465.135306279,518470.13639756123,4.0,7.5,0,7.0,False
SS18,12,Start12,Stop12,518477.3443800475,518482.39158102777,4.0,8.5,0,7.0,False
SS18,13,Start13,Stop13,518489.55046871613,518494.5528388984,4.0,7.0,0,7.0,True
SS18,14,Start14,Stop14,518501.75634208473,518506.7643277668,4.0,8.0,0,7.0,False
SS18,15,Start15,Stop15,518513.9678749531,518518.9938117343,4.0,9.0,0,7.0,False
SS18,16,Start16,Stop16,518526.17460362177,518531.37870109524,4.0,11.0,0,7.0,False
SS18,17,Start17,Stop17,518538.58879198134,518543.60156056314,4.0,7.5,0,7.0,False
SS18,18,Start18,Stop18,518550.79736254987,518555.7947545323,4.0,8.5,0,7.0,False
SS18,19,Start19,Stop19,518562.99874641874,518568.00419790077,4.0,7.0,0,7.0,True
SS18,20,Start20,Stop20,518575.2066488873,518580.20736756956,4.0,8.0,0,7.0,False
SS18,21,Start21,Stop21,518587.4197369556,518592.4228655378,4.0,9.0,0,7.0,False
SS18,22,Start22,Stop22,518599.8254189155,518604.8299710977,4.0,11.0,0,7.0,False
SS18,23,Start23,Stop23,518612.035384484,518617.0529650656,4.0,7.5,0,7.0,False
SS18,24,Start24,Stop24,518624.23586525285,518629.241492035,4.0,8.5,0,7.0,False
SS19,1,Start1,Stop1,518790.0308007847,518794.8372581718,4.0,7.0,0,7.0,True
SS19,2,Start2,Stop2,518802.2574400062,518807.2425322966,4.0,8.0,0,7.0,False
SS19,3,Start3,Stop3,518814.44824062707,518819.4518914177,4.0,9.0,0,7.0,False
SS19,4,Start4,Stop4,518826.8691528521,518831.6740943391,4.0,11.0,0,7.0,False
SS19,5,Start5,Stop5,518839.0842522734,518844.06742546364,4.0,7.5,0,7.0,False
SS19,6,Start6,Stop6,518851.27345479414,518856.2750963848,4.0,8.5,0,7.0,False
SS19,7,Start7,Stop7,518863.4800186153,518868.483183606,4.0,7.0,0,7.0,True
SS19,8,Start8,Stop8,518875.68611093645,518880.6998071273,4.0,8.0,0,7.0,False
SS19,9,Start9,Stop9,518887.9033526578,518892.89759054827,4.0,9.0,0,7.0,False
SS19,10,Start10,Stop10,518900.1044209788,518905.1051679694,4.0,11.0,0,7.0,False
SS19,11,Start11,Stop11,518912.52012950374,518917.51326169417,4.0,7.5,0,7.0,False
SS19,12,Start12,Stop12,518924.71604982467,518929.73232151556,4.0,8.5,0,7.0,False
SS19,13,Start13,Stop13,518936.92583114584,518941.9451378368,4.0,7.0,0,7.0,True
SS19,14,Start14,Stop14,518949.132793867,518954.14073185774,4.0,8.0,0,7.0,False
SS19,15,Start15,Stop15,518961.3464006883,518966.34658547887,4.0,9.0,0,7.0,False
SS19,16,Start16,Stop16,518973.55342130945,518978.75412060367,4.0,11.0,0,7.0,False
SS19,17,Start17,Stop17,518985.97363963444,518990.9814896252,4.0,7.5,0,7.0,False
SS19,18,Start18,Stop18,518998.16831895534,519002.9852565426,4.0,8.5,0,7.0,False
SS19,19,Start19,Stop19,519010.3740126765,519015.18572946364,4.0,7.0,0,7.0,True
SS19,20,Start20,Stop20,519022.58198009763,519027.3882895847,4.0,8.0,0,7.0,False
SS19,21,Start21,Stop21,519034.59470381524,519039.79996390955,4.0,9.0,0,7.0,False
SS19,22,Start22,Stop22,519047.00317964004,519052.0124766308,4.0,11.0,0,7.0,False
SS19,23,Start23,Stop23,519059.21129846125,519064.21410815185,4.0,7.5,0,7.0,False
SS19,24,Start24,Stop24,519071.4202815824,519076.44630517345,4.0,8.5,0,7.0,False
SS20,1,Start1,Stop1,3865.655987918097,3870.684076182201,4.0,7.0,0,7.0,True
SS20,2,Start2,Stop2,3877.4615656686087,3882.462358332365,4.0,8.0,0,7.0,False
SS20,3,Start3,Stop3,3889.066684816565,3894.0691280803426,4.0,9.0,0,7.0,False
SS20,4,Start4,Stop4,3900.8731121670876,3905.6762681283244,4.0,11.0,0,7.0,False
SS20,5,Start5,Stop5,3912.288225212622,3917.285859776338,4.0,7.5,0,7.0,False
SS20,6,Start6,Stop6,3923.8902092605385,3929.0879662268057,4.0,8.5,0,7.0,False
SS20,7,Start7,Stop7,3935.691620510997,3940.6957754747964,4.0,7.0,0,7.0,True
SS20,8,Start8,Stop8,3947.3046178590544,3952.3041877227947,4.0,8.0,0,7.0,False
SS20,9,Start9,Stop9,3959.107821109536,3964.1113056733266,4.0,9.0,0,7.0,False
SS20,10,Start10,Stop10,3970.714564757513,3975.918091423854,4.0,11.0,0,7.0,False
SS20,11,Start11,Stop11,3982.526206108102,3987.5276492718667,4.0,7.5,0,7.0,False
SS20,12,Start12,Stop12,3994.130909856053,3999.137830619888,4.0,8.5,0,7.0,False
SS20,13,Start13,Stop13,4005.73919400405,4010.745660067879,4.0,7.0,0,7.0,True
SS20,14,Start14,Stop14,4017.15399824958,4022.3576145159223,4.0,8.0,0,7.0,False
SS20,15,Start15,Stop15,4028.9572734000626,4033.9621511638716,4.0,9.0,0,7.0,False
SS20,16,Start16,Stop16,4040.7606833505474,4045.7642206143387,4.0,11.0,0,7.0,False
SS20,17,Start17,Stop17,4052.3763694986383,4057.3775356623996,4.0,7.5,0,7.0,False
SS20,18,Start18,Stop18,4063.97872834656,4068.9806146103297,4.0,8.5,0,7.0,False
SS20,19,Start19,Stop19,4075.586029294544,4080.589082658329,4.0,7.0,0,7.0,True
SS20,20,Start20,Stop20,4087.1934265425293,4092.1957127063047,4.0,8.0,0,7.0,False
SS20,21,Start21,Stop21,4098.999408893046,4104.0024150568315,4.0,9.0,0,7.0,False
SS20,22,Start22,Stop22,4110.609969441072,4115.609057004807,4.0,11.0,0,7.0,False
SS20,23,Start23,Stop23,4122.213006289003,4127.216944652799,4.0,7.5,0,7.0,False
SS20,24,Start24,Stop24,4133.836671737195,4138.821105900743,4.0,8.5,0,7.0,False
SS21,1,Start1,Stop1,4287.029905769392,4292.036503238572,4.0,7.0,0,7.0,True
SS21,2,Start2,Stop2,4298.64086972983,4303.6436985989585,4.0,8.0,0,7.0,False
SS21,3,Start3,Stop3,4310.441488092889,4315.250662859341,4.0,9.0,0,7.0,False
SS21,4,Start4,Stop4,4322.051789753318,4327.05416792244,4.0,11.0,0,7.0,False
SS21,5,Start5,Stop5,4333.658450513697,4338.473204180226,4.0,7.5,0,7.0,False
SS21,6,Start6,Stop6,4345.069627571374,4350.26838064321,4.0,8.5,0,7.0,False
SS21,7,Start7,Stop7,4356.871565134452,4361.87801140363,4.0,7.0,0,7.0,True
SS21,8,Start8,Stop8,4368.4959788950755,4373.492929964123,4.0,8.0,0,7.0,False
SS21,9,Start9,Stop9,4380.288758658026,4385.293516727182,4.0,9.0,0,7.0,False
