subject,trial_idx,start_marker,stop_marker,start_time,stop_time,used_duration,true_freq,pred_class_idx,pred_freq,correct,rhos
SS25,11,Start11,Stop11,355105.0006399227,355109.9992877628,4.0,7.5,4,7.5,True,"[np.float64(0.22204357218887183), np.float64(0.26089016674235693), np.float64(0.28161383234524556), np.float64(0.21065821308286056), np.float64(0.4087037861071452), np.float64(0.2800954335109071)]"
SS25,12,Start12,Stop12,355116.61151251587,355121.605833356,4.0,8.5,5,8.5,True,"[np.float64(0.23734297333995952), np.float64(0.27189324091283285), np.float64(0.2438119845206366), np.float64(0.2461757008091018), np.float64(0.29308377890988585), np.float64(0.34543891579425534)]"
SS25,13,Start13,Stop13,355128.20248690894,355133.20168514905,4.0,7.0,0,7.0,True,"[np.float64(0.3371124278827782), np.float64(0.28805431515146934), np.float64(0.2381223227910531), np.float64(0.2376866882404534), np.float64(0.2584433599125661), np.float64(0.17686012768442397)]"
SS25,14,Start14,Stop14,355139.80704630207,355144.8166422423,4.0,8.0,1,8.0,True,"[np.float64(0.2838840841832877), np.float64(0.4486893153565811), np.float64(0.2228194590323693), np.float64(0.21653632048867316), np.float64(0.27846193575138356), np.float64(0.25957803896522175)]"
SS25,15,Start15,Stop15,355151.4059767952,355156.4052392353,4.0,9.0,2,9.0,True,"[np.float64(0.3024656208348553), np.float64(0.2659357179917231), np.float64(0.3897356593424341), np.float64(0.2561821123512626), np.float64(0.30944883398251416), np.float64(0.2236810643436956)]"
SS25,16,Start16,Stop16,355163.0065830883,355168.3415784311,4.0,11.0,3,11.0,True,"[np.float64(0.23321937147029134), np.float64(0.2643282275026868), np.float64(0.19927435925831313), np.float64(0.28874876885126954), np.float64(0.2781341514212512), np.float64(0.19054772149847554)]"
SS25,17,Start17,Stop17,355174.8134917831,355179.8082219232,4.0,7.5,4,7.5,True,"[np.float64(0.2020470169325208), np.float64(0.20940329640010033), np.float64(0.22831775198900656), np.float64(0.18264100841005637), np.float64(0.42818240607215646), np.float64(0.21884691006156226)]"
SS25,18,Start18,Stop18,355186.41539187625,355191.41438821633,4.0,8.5,5,8.5,True,"[np.float64(0.24596303789954407), np.float64(0.19813796729266447), np.float64(0.24021820019887075), np.float64(0.2883083586731658), np.float64(0.2506140680139031), np.float64(0.32799509175314695)]"
SS25,19,Start19,Stop19,355198.0207140694,355203.01697760954,4.0,7.0,4,7.5,False,"[np.float64(0.3070742481916414), np.float64(0.20473785334702052), np.float64(0.23393232881364534), np.float64(0.2075732422834502), np.float64(0.3211153475497766), np.float64(0.28384208267436534)]"
SS25,20,Start20,Stop20,355209.6186270625,355214.6171236026,4.0,8.0,0,7.0,False,"[np.float64(0.32472554729069786), np.float64(0.29967579183822524), np.float64(0.21128636674767912), np.float64(0.25099667928670744), np.float64(0.2736203708254091), np.float64(0.20795890293392427)]"
SS25,21,Start21,Stop21,355221.2186134556,355226.21963649575,4.0,9.0,0,7.0,False,"[np.float64(0.27079618705405295), np.float64(0.2248741438223361), np.float64(0.25271131470641395), np.float64(0.1600609588986105), np.float64(0.2181719077158429), np.float64(0.2358163944578244)]"
SS25,22,Start22,Stop22,355232.8330541489,355237.8217694889,4.0,11.0,3,11.0,True,"[np.float64(0.24121580481401475), np.float64(0.29578621066085165), np.float64(0.21229532763185022), np.float64(0.34631233088044383), np.float64(0.2907057519170093), np.float64(0.19818924474817565)]"
SS25,23,Start23,Stop23,355244.4244249419,355249.42888198205,4.0,7.5,4,7.5,True,"[np.float64(0.26812967819341604), np.float64(0.21671737482486664), np.float64(0.31524287925362876), np.float64(0.16929209331274273), np.float64(0.3812566961836436), np.float64(0.2146255848062668)]"
SS25,24,Start24,Stop24,355256.027025035,355261.0464367753,4.0,8.5,5,8.5,True,"[np.float64(0.20091869011257568), np.float64(0.2668603298103804), np.float64(0.21451096935378156), np.float64(0.1715436452958653), np.float64(0.2087416320077905), np.float64(0.3020973810474262)]"
SS26,1,Start1,Stop1,355426.62950917555,355431.5990365707,4.0,7.0,0,7.0,True,"[np.float64(0.37761820084381803), np.float64(0.2212871370493949), np.float64(0.19814066524375365), np.float64(0.20338824101395792), np.float64(0.2921264854939764), np.float64(0.20004765216985407)]"
SS26,2,Start2,Stop2,355438.40632196417,355443.39818285935,4.0,8.0,1,8.0,True,"[np.float64(0.23004190873051528), np.float64(0.577567601019877), np.float64(0.21498264349012233), np.float64(0.15688018769623338), np.float64(0.25560250442419), np.float64(0.26206731936826727)]"
SS26,3,Start3,Stop3,355450.00253065303,355455.0977749481,4.0,9.0,2,9.0,True,"[np.float64(0.18016110192561272), np.float64(0.28916142079748136), np.float64(0.6040002315085404), np.float64(0.16021547128287952), np.float64(0.38519153976126574), np.float64(0.24150941472310908)]"
SS26,4,Start4,Stop4,355461.81657064165,355466.81939373683,4.0,11.0,3,11.0,True,"[np.float64(0.3172208432220043), np.float64(0.24049977785467894), np.float64(0.2638789794689703), np.float64(0.4407099397374144), np.float64(0.24916390351036716), np.float64(0.2153320809964473)]"
SS26,5,Start5,Stop5,355473.4154840305,355478.41562522564,4.0,7.5,4,7.5,True,"[np.float64(0.2696755217628636), np.float64(0.23692728135776098), np.float64(0.24521960383931501), np.float64(0.25070586324904875), np.float64(0.5280846686194448), np.float64(0.2375872426596256)]"
SS26,6,Start6,Stop6,355485.21519631916,355490.2182617143,4.0,8.5,5,8.5,True,"[np.float64(0.2753415974005127), np.float64(0.2327873186622064), np.float64(0.2032304604745694), np.float64(0.20400367115430645), np.float64(0.26972123881307214), np.float64(0.477446071901256)]"
SS26,7,Start7,Stop7,355496.82452090795,355501.82864550315,4.0,7.0,0,7.0,True,"[np.float64(0.35067220972508345), np.float64(0.23815264750202517), np.float64(0.2637247361167828), np.float64(0.2208453272020465), np.float64(0.24701741547745276), np.float64(0.2971836168337038)]"
SS26,8,Start8,Stop8,355508.4338351968,355513.430285692,4.0,8.0,1,8.0,True,"[np.float64(0.24419338344245323), np.float64(0.39538131571927715), np.float64(0.3158894162851756), np.float64(0.25802476241267586), np.float64(0.229944149210501), np.float64(0.26726465037665664)]"
SS26,9,Start9,Stop9,355520.23562028544,355525.2347062806,4.0,9.0,2,9.0,True,"[np.float64(0.24936796888604268), np.float64(0.22799640539841817), np.float64(0.263688243816287), np.float64(0.2020522835095427), np.float64(0.2395331838976986), np.float64(0.21510382387028934)]"
